sub_id,dim0,param_value
0,2000,1
0,2001,1.01
0,2002,1.020201
0,2003,1.0306070502
0,2004,1.0412223028
0,2005,1.0520510148
0,2006,1.0630975504
0,2007,1.0743663845
0,2008,1.0858621048
0,2009,1.0975894155
0,2010,1.1095531401
0,2011,1.1217582247
0,2012,1.134209741
0,2013,1.1469128901
0,2014,1.1598730057
0,2015,1.173095558
0,2016,1.1865861569
0,2017,1.2003505563
0,2018,1.2143946578
0,2019,1.2287245148
0,2020,1.2433463365
0,2021,1.2582664926
0,2022,1.2734915171
0,2023,1.2890281136
0,2024,1.3048831594
0,2025,1.3210637106
